city,CityName
-1,Blank
0,NOT APPLICABLE
10,ABBOTT
20,ABERNATHY
23,ACALA
25,ACE
28,ADAMSVILLE
29,ACKERLY
30,ABILENE
31,ADDISON
32,ADDICKS
33,ADKINS
34,ACTON
35,ADRIAN
36,AFTON
40,AGUA DULCE
45,AGUILARES
48,AIKEN
50,ALAMO
60,ALAMO HEIGHTS
65,ALANREED
70,ALBA
80,ALBANY
83,ALBERT
85,ALEDO
89,ALICE SOUTHWEST
90,ALICE
91,ALIEF
92,ALLEN
95,ALLISON
96,ALMA
100,ALPINE
104,ALTAIR
105,ALTA LOMA
110,ALTO
114,ALTON
119,ALTOGA
120,ALVARADO
130,ALVIN
140,ALVORD
150,AMARILLO
155,AMBROSE
157,AMES
160,AMHERST
170,ANAHUAC
175,ANDERSON
176,ANDERSON MILL
180,ANDREWS
190,ANGLETON
196,ANGUS
200,ANNA
208,ANNETH NORTH
210,ANNONA
220,ANSON
223,ANTELOPE
225,ANTHONY
230,ANTON
231,APPLE SPRINGS
232,APPLEBY
237,AQUILLA
240,ARANSAS PASS
249,ARCADIA
250,ARCHER CITY
250,FRISCO
253,ARCOLA
255,ARGYLE
260,ARLINGTON
265,ARMSTRONG
270,ARP
272,ART
275,ARTESIA WELLS
276,ARTHUR CITY
280,ASHERTON
290,ASPERMONT
294,ATASCOCITA
295,ATASCOSA
300,ATHENS
310,ATLANTA
320,AUBREY
329,AURORA
330,AUSTIN
340,AUSTWELL
345,AVALON
350,AVERY
360,AVINGER
362,AVOCA
363,AXTELL
364,AZLE
366,BACLIFF
368,BAGWELL
370,BAILEY
375,BAILEYS PRAIRIE
380,BAIRD
387,BALCH SPRINGS
390,BALCONES HEIGHTS
400,BALLINGER
405,BALMORHEA
410,BANDERA
420,BANGS
427,BANQUETE
428,BARCLAY
430,BARDWELL
432,BARKER
433,BARKSDALE
435,BARNHART
436,BARNUM
437,BARRETT
439,BARRY
440,BARSTOW
450,BARTLETT
452,BARTONVILLE
460,BASTROP
463,BATESVILLE
465,BATSON
470,BAY CITY
475,BAYSIDE
480,BAYTOWN
482,BAYVIEW
486,BEACH CITY
488,BEASLEY
490,BEAUMONT
495,BEAUMONT PLACE
500,BECKVILLE
502,BEDFORD
503,BEDIAS
505,BEBE
507,BEE HOUSE
510,BEEVILLE
520,BELCHERVILLE
522,BELFALLS
530,BELLAIRE
540,BELLEVUE
545,BELLMEAD
550,BELLS
560,BELLVILLE
565,BELMONT
570,BELTON
580,BENAVIDES
584,BEN ARNOLD
586,BEN BOLT
590,BENBROOK
592,BEND
595,BEN FRANKLIN
600,BENJAMIN
601,BERRYVILLE
602,BERGHEIM
603,BERCLAIR
604,BEN WHEELER
605,BERGSTROM AFB
606,BERTRAM
607,BEST
608,BETTIE
610,BEVERLY
612,BEVIL OAKS
614,BIG BEND NATL PARK
615,BIGGS AF BASE
616,BIGFOOT
620,BIG LAKE
630,BIG SANDY
640,BIG SPRING
650,BIG WELLS
655,BIROME
660,BISHOP
663,BIVINS
667,BLACK
668,BLACKWELL
670,BLANCO
680,BLANKET
681,BLEAKWOOD
682,BLEDSOE
683,BLEIBLERVILLE
684,BLESSING
690,BLOOMBURG
700,BLOOMING GROVE
702,BLOOMINGTON
710,BLOSSOM
718,BLUEGROVE
719,BLUE MOUND
720,BLUE RIDGE
722,BLUFF DALE
725,BLUFFTON
730,BLUM
740,BOERNE
750,BOGATA
757,BOLING
758,BOMARTON
760,BONHAM
765,BON WEIR
770,BOOKER
773,BONITA
774,BONNEY
775,BOOTH
780,BORGER
790,BOVINA
800,BOWIE
810,BOYD
814,BOYS RANCH
815,BRACKEN
820,BRACKETTVILLE
830,BRADY
840,BRANDON
845,BRASHEAR
850,BRAZORIA
851,BRAZOS
852,BRAZOS POINT
860,BRECKENRIDGE
870,BREMOND
872,BEAR CITY
872,BRIAR CITY
876,BRIAR OAKS
880,BRENHAM
885,BRIDGE CITY
890,BRIDGEPORT
892,BRIGGS
893,BRISCOE
895,BRITTON
896,BROADDUS
897,BRONSON
900,BRONTE
903,BROOKESMITH
904,BROOKELAND
905,BROOKS AF BASE
910,BROOKSHIRE
912,BROOKSIDE VILLAGE
915,BROOKSTON
920,BROWNFIELD
922,BROWNDELL
930,BROWNSBORO
