county,CountyName
-1,Blank
0,NOT APPLICABLE (000)
1,ANDERSON (1)
3,ANDREWS (3)
5,ANGELINA (5)
7,ARANSAS (7)
9,ARCHER (9)
11,ARMSTRONG (11)
13,ATASCOSA (13)
15,AUSTIN (15)
17,BAILEY (17)
19,BANDERA (19)
21,BASTROP (21)
23,BAYLOR (23)
25,BEE (25)
27,BELL (27)
29,BEXAR (29)
31,BLANCO (31)
33,BORDEN (33)
35,BOSQUE (35)
37,BOWIE (37)
39,BRAZORIA (39)
41,BRAZOS (41)
43,BREWSTER (43)
45,BRISCOE (45)
47,BROOKS (47)
49,BROWN (49)
51,BURLESON (51)
53,BURNET (53)
55,CALDWELL (55)
57,CALHOUN (57)
59,CALLAHAN (59)
61,CAMERON (61)
63,CAMP (63)
65,CARSON (65)
67,CASS (67)
69,CASTRO (69)
71,CHAMBERS (71)
73,CHEROKEE (73)
75,CHILDRESS (75)
77,CLAY (77)
79,COCHRAN (79)
81,COKE (81)
83,COLEMAN (83)
85,COLLIN (85)
87,COLLINGSWORTH (87)
89,COLORADO (89)
91,COMAL (91)
93,COMANCHE (93)
95,CONCHO (95)
97,COOKE (97)
99,CORYELL (99)
101,COTTLE (101)
103,CRANE (103)
105,CROCKETT (105)
107,CROSBY (107)
109,CULBERSON (109)
111,DALLAM (111)
113,DALLAS (113)
115,DAWSON (115)
117,DEAF SMITH (117)
119,DELTA (119)
121,DENTON (121)
123,DE WITT (123)
125,DICKENS (125)
127,DIMMIT (127)
129,DONLEY (129)
131,DUVAL (131)
133,EASTLAND (133)
135,ECTOR (135)
137,EDWARDS (137)
139,ELLIS (139)
141,EL PASO (141)
143,ERATH (143)
145,FALLS (145)
147,FANNIN (147)
149,FAYETTE (149)
151,FISHER (151)
153,FLOYD (153)
155,FOARD (155)
157,FORT BEND (157)
159,FRANKLIN (159)
161,FREESTONE (161)
163,FRIO (163)
165,GAINES (165)
167,GALVESTON (167)
169,GARZA (169)
171,GILLESPIE (171)
173,GLASSCOCK (173)
175,GOLIAD (175)
177,GONZALES (177)
179,GRAY (179)
181,GRAYSON (181)
183,GREGG (183)
185,GRIMES (185)
187,GUADALUPE (187)
189,HALE (189)
191,HALL (191)
193,HAMILTON (193)
195,HANSFORD (195)
197,HARDEMAN (197)
199,HARDIN (199)
201,HARRIS (201)
203,HARRISON (203)
205,HARTLEY (205)
207,HASKELL (207)
209,HAYS (209)
211,HEMPHILL (211)
213,HENDERSON (213)
215,HIDALGO (215)
217,HILL (217)
219,HOCKLEY (219)
221,HOOD (221)
223,HOPKINS (223)
225,HOUSTON (225)
227,HOWARD (227)
229,HUDSPETH (229)
231,HUNT (231)
233,HUTCHINSON (233)
235,IRION (235)
237,JACK (237)
239,JACKSON (239)
241,JASPER (241)
243,JEFF DAVIS (243)
245,JEFFERSON (245)
247,JIM HOGG (247)
249,JIM WELLS (249)
251,JOHNSON (251)
253,JONES (253)
255,KARNES (255)
257,KAUFMAN (257)
259,KENDALL (259)
261,KENEDY (261)
263,KENT (263)
265,KERR (265)
267,KIMBLE (267)
269,KING (269)
271,KINNEY (271)
273,KLEBERG (273)
275,KNOX (275)
277,LAMAR (277)
279,LAMB (279)
281,LAMPASAS (281)
283,LA SALLE (283)
285,LAVACA (285)
287,LEE (287)
289,LEON (289)
291,LIBERTY (291)
293,LIMESTONE (293)
295,LIPSCOMB (295)
297,LIVE OAK (297)
299,LLANO (299)
301,LOVING (301)
303,LUBBOCK (303)
305,LYNN (305)
307,MCCULLOCH (307)
309,MCLENNAN (309)
311,MCMULLEN (311)
313,MADISON (313)
315,MARION (315)
317,MARTIN (317)
319,MASON (319)
321,MATAGORDA (321)
323,MAVERICK (323)
325,MEDINA (325)
327,MENARD (327)
329,MIDLAND (329)
331,MILAM (331)
333,MILLS (333)
335,MITCHELL (335)
337,MONTAGUE (337)
339,MONTGOMERY (339)
341,MOORE (341)
343,MORRIS (343)
345,MOTLEY (345)
347,NACOGDOCHES (347)
349,NAVARRO (349)
351,NEWTON (351)
353,NOLAN (353)
355,NUECES (355)
357,OCHILTREE (357)
359,OLDHAM (359)
361,ORANGE (361)
363,PALO PINTO (363)
365,PANOLA (365)
367,PARKER (367)
369,PARMER (369)
371,PECOS (371)
373,POLK (373)
375,POTTER (375)
377,PRESIDIO (377)
379,RAINS (379)
381,RANDALL (381)
383,REAGAN (383)
385,REAL (385)
387,RED RIVER (387)
389,REEVES (389)
391,REFUGIO (391)
393,ROBERTS (393)
395,ROBERTSON (395)
397,ROCKWALL (397)
399,RUNNELS (399)
401,RUSK (401)
403,SABINE (403)
405,SAN AUGUSTINE (405)
407,SAN JACINTO (407)
409,SAN PATRICIO (409)
411,SAN SABA (411)
413,SCHLEICHER (413)
415,SCURRY (415)
417,SHACKELFORD (417)
419,SHELBY (419)
421,SHERMAN (421)
423,SMITH (423)
425,SOMERVELL (425)
427,STARR (427)
429,STEPHENS (429)
431,STERLING (431)
433,STONEWALL (433)
435,SUTTON (435)
437,SWISHER (437)
439,TARRANT (439)
441,TAYLOR (441)
443,TERRELL (443)
445,TERRY (445)
447,THROCKMORTON (447)
449,TITUS (449)
451,TOM GREEN (451)
453,TRAVIS (453)
455,TRINITY (455)
457,TYLER (457)
459,UPSHUR (459)
461,UPTON (461)
463,UVALDE (463)
465,VAL VERDE (465)
467,VAN ZANDT (467)
469,VICTORIA (469)
471,WALKER (471)
473,WALLER (473)
475,WARD (475)
477,WASHINGTON (477)
479,WEBB (479)
481,WHARTON (481)
483,WHEELER (483)
485,WICHITA (485)
487,WILBARGER (487)
489,WILLACY (489)
491,WILLIAMSON (491)
493,WILSON (493)
495,WINKLER (495)
497,WISE (497)
499,WOOD (499)
501,YOAKUM (501)
503,YOUNG (503)
505,ZAPATA (505)
507,ZAVALA (507)
997,OTHER (997)
998,Not Reported
999,UNKNOWN (999)
