arrhr,Arrival Hour EMS
-1,(-1)Blank
0,(0)0:00am-0:59am
1,(1)1:00am-1:59am
2,(2)2:00am-2:59am
3,(3)3:00am-3:59am
4,(4)4:00am-4:59am
5,(5)5:00am-5:59am
6,(6)6:00am-6:59am
7,(7)7:00am-7:59am
8,(8)8:00am-8:59am
9,(9)9:00am-9:59am
10,(10)10:00am-10:59am
11,(11)11:00am-11:59am
12,(12)12:00pm-12:59pm
13,(13)1:00pm-1:59pm
14,(14)2:00pm-2:59pm
15,(15)3:00pm-3:59pm
16,(16)4:00pm-4:59pm
17,(17)5:00pm-5:59pm
18,(18)6:00pm-6:59pm
19,(19)7:00pm-7:59pm
20,(20)8:00pm-8:59pm
21,(21)9:00pm-9:59pm
22,(22)10:00pm-10:59pm
23,(23)11:00pm-11:59pm
88,(88)Not Applicable
99,(99)Unknown EMS Scene Arrival Hour
