statenum,casenum,vnumber,pnumber,arrhr,arrmin,arrtime,atmcond,atmcond2,city,county,accdate,accday,acchr,accmin,accmon,arf1,arf2,arf3,acctime,caseyear,dayofweek,driverdrowsy,hosphr,hospmin,hosptime,fhevent,funcsystem,holiday,landuse,heavytruck,latitude,latdeg,latmin,latsec,lightcond,longitude,londeg,lonmin,lonsec,manncol,milepnt,nhs,nothr,notmin,nottime,numfatal,nmforms,pforms,vforms,ownership,rxing,reljunc,reljuncinter,relrdwy,rtesign,schlbus,spejur,speeding,trafid1,trafid2,intersectiontype,conszone,age,alcres,alcsts,alctst,deathdate,dthday,dthhr,dthmin,dthmon,deathtime,dthyr,diedscene,drugres1,drugres2,drugres3,drugsts,drugtst1,drugtst2,drugtst3,injurwrk,hispanic,injury,methalc,methdrug,prf1,prf2,prf3,ptype,druginv,alcinvol,race,sex,lagtime,takehosp
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,1,1,1,21,121,1,0,5390,85,1012016,1,1,13,1,0,0,0,113,2016,6,0,1,36,136,12,3,1,2,0,33.08231944,33,4,56.35,3,-96.80063611,96,48,2.29,6,244,1,1,14,114,1,0,8,3,98,0,2,0,1,3,0,0,1,SR-289 PRESTON RD,HEDGCOXE RD,2,0,31,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,1,9,8,0,0,0,1,8,1,0,1,99999,0
48,1,2,1,1,21,121,1,0,5390,85,1012016,1,1,13,1,0,0,0,113,2016,6,0,1,36,136,12,3,1,2,0,33.08231944,33,4,56.35,3,-96.80063611,96,48,2.29,6,244,1,1,14,114,1,0,8,3,98,0,2,0,1,3,0,0,1,SR-289 PRESTON RD,HEDGCOXE RD,2,0,71,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,2,9,8,0,0,0,1,8,8,0,1,99999,5
48,1,2,2,1,21,121,1,0,5390,85,1012016,1,1,13,1,0,0,0,113,2016,6,0,1,36,136,12,3,1,2,0,33.08231944,33,4,56.35,3,-96.80063611,96,48,2.29,6,244,1,1,14,114,1,0,8,3,98,0,2,0,1,3,0,0,1,SR-289 PRESTON RD,HEDGCOXE RD,2,0,70,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,2,9,8,0,0,0,2,8,8,0,2,99999,5
48,1,2,3,1,21,121,1,0,5390,85,1012016,1,1,13,1,0,0,0,113,2016,6,0,1,36,136,12,3,1,2,0,33.08231944,33,4,56.35,3,-96.80063611,96,48,2.29,6,244,1,1,14,114,1,0,8,3,98,0,2,0,1,3,0,0,1,SR-289 PRESTON RD,HEDGCOXE RD,2,0,15,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,2,9,8,0,0,0,2,8,8,0,2,99999,5
48,1,2,4,1,21,121,1,0,5390,85,1012016,1,1,13,1,0,0,0,113,2016,6,0,1,36,136,12,3,1,2,0,33.08231944,33,4,56.35,3,-96.80063611,96,48,2.29,6,244,1,1,14,114,1,0,8,3,98,0,2,0,1,3,0,0,1,SR-289 PRESTON RD,HEDGCOXE RD,2,0,13,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,2,9,8,0,0,0,2,8,8,0,2,99999,5
48,1,2,5,1,21,121,1,0,5390,85,1012016,1,1,13,1,0,0,0,113,2016,6,0,1,36,136,12,3,1,2,0,33.08231944,33,4,56.35,3,-96.80063611,96,48,2.29,6,244,1,1,14,114,1,0,8,3,98,0,2,0,1,3,0,0,1,SR-289 PRESTON RD,HEDGCOXE RD,2,0,10,996,0,0,1012016,1,19,53,1,1953,2016,0,0,0,0,0,0,0,0,0,7,4,9,8,0,0,0,2,8,8,1,2,1840,5
48,1,3,1,1,21,121,1,0,5390,85,1012016,1,1,13,1,0,0,0,113,2016,6,0,1,36,136,12,3,1,2,0,33.08231944,33,4,56.35,3,-96.80063611,96,48,2.29,6,244,1,1,14,114,1,0,8,3,98,0,2,0,1,3,0,0,1,SR-289 PRESTON RD,HEDGCOXE RD,2,0,22,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,0,9,8,0,0,0,1,8,8,0,2,99999,0
48,1,3,2,1,21,121,1,0,5390,85,1012016,1,1,13,1,0,0,0,113,2016,6,0,1,36,136,12,3,1,2,0,33.08231944,33,4,56.35,3,-96.80063611,96,48,2.29,6,244,1,1,14,114,1,0,8,3,98,0,2,0,1,3,0,0,1,SR-289 PRESTON RD,HEDGCOXE RD,2,0,23,996,0,0,88888888,88,88,88,88,8888,8888,0,0,0,0,0,0,0,0,8,0,0,9,8,0,0,0,2,8,8,0,2,99999,0
48,2,1,1,99,98,9998,10,0,0,159,1012016,1,6,45,1,0,0,0,645,2016,6,0,88,88,8888,24,1,1,1,1,33.16255833,33,9,45.21,2,-95.16188889,95,9,42.8,0,78,1,99,98,9998,2,0,2,1,1,0,19,1,3,1,0,0,0,I-30,.,1,0,42,0,2,1,1012016,1,6,45,1,645,2016,7,1,0,0,2,1,0,0,0,7,4,9,8,0,0,0,1,8,8,1,1,0,0
